No	Time[sec]	VOLT[V]	CURR[A]
668	141	0.65	1.16852e-005
669	141	0.65	1.16366e-005
670	141	0.65	1.19189e-005
671	141	0.65	1.18823e-005
672	142	0.65	1.1811e-005
673	142	0.65	1.18011e-005
674	142	0.65	1.21419e-005
675	142	0.65	1.17386e-005
676	142	0.65	1.17603e-005
677	143	0.65	1.17746e-005
678	143	0.65	1.1814e-005
679	143	0.65	1.1597e-005
680	143	0.65	1.16908e-005
681	143	0.65	1.16901e-005
682	144	0.65	1.13128e-005
683	144	0.65	1.15433e-005
684	144	0.65	1.16179e-005
685	144	0.65	1.13971e-005
686	144	0.65	1.14814e-005
687	145	0.65	1.1454e-005
688	145	0.65	1.14756e-005
689	145	0.65	1.12659e-005
690	145	0.65	1.15386e-005
691	145	0.65	1.1354e-005
692	146	0.65	1.12356e-005
693	146	0.65	1.12816e-005
694	146	0.65	1.11053e-005
695	146	0.65	1.12722e-005
696	147	0.65	1.11938e-005
697	147	0.65	1.12557e-005
698	147	0.65	1.12561e-005
699	147	0.65	1.11826e-005
700	147	0.7	1.22719e-005
701	148	0.7	1.23548e-005
702	148	0.7	1.22133e-005
703	148	0.7	1.20918e-005
704	148	0.7	1.20794e-005
705	148	0.7	1.21189e-005
706	149	0.7	1.23804e-005
707	149	0.7	1.2124e-005
708	149	0.7	1.22068e-005
709	149	0.7	1.21525e-005
710	149	0.7	1.2227e-005
711	150	0.7	1.225e-005
712	150	0.7	1.24242e-005
713	150	0.7	1.22501e-005
714	150	0.7	1.24823e-005
715	150	0.7	1.26702e-005
716	151	0.7	1.28541e-005
717	151	0.7	1.2708e-005
718	151	0.7	1.25885e-005
719	151	0.7	1.25093e-005
720	151	0.7	1.24953e-005
721	152	0.7	1.2473e-005
722	152	0.7	1.23329e-005
723	152	0.7	1.26203e-005
724	152	0.7	1.2349e-005
725	153	0.7	1.23011e-005
726	153	0.7	1.23431e-005
727	153	0.7	1.24426e-005
728	153	0.7	1.24974e-005
729	153	0.7	1.22537e-005
730	154	0.7	1.25753e-005
731	154	0.7	1.22792e-005
732	154	0.7	1.24116e-005
733	154	0.7	1.21724e-005
734	154	0.7	1.24644e-005
735	155	0.7	1.25827e-005
736	155	0.7	1.26538e-005
737	155	0.7	1.28747e-005
738	155	0.7	1.27996e-005
739	155	0.7	1.27696e-005
740	156	0.7	1.25385e-005
741	156	0.7	1.2582e-005
742	156	0.7	1.24438e-005
743	156	0.7	1.29958e-005
744	156	0.7	1.2878e-005
745	157	0.7	1.26993e-005
746	157	0.7	1.26078e-005
747	157	0.7	1.25856e-005
748	157	0.7	1.25943e-005
749	157	0.7	1.26719e-005
750	158	0.75	1.38285e-005
751	158	0.75	1.39005e-005
752	158	0.75	1.39044e-005
753	158	0.75	1.40774e-005
754	158	0.75	1.39258e-005
755	159	0.75	1.38031e-005
756	159	0.75	1.38632e-005
757	159	0.75	1.3857e-005
758	159	0.75	1.37587e-005
759	160	0.75	1.38228e-005
760	160	0.75	1.36145e-005
761	160	0.75	1.36766e-005
762	160	0.75	1.37874e-005
763	160	0.75	1.36591e-005
764	161	0.75	1.35374e-005
765	161	0.75	1.33104e-005
766	161	0.75	1.34016e-005
767	161	0.75	1.35454e-005
768	161	0.75	1.33813e-005
769	162	0.75	1.34836e-005
770	162	0.75	1.3538e-005
771	162	0.75	1.37791e-005
772	162	0.75	1.32544e-005
773	162	0.75	1.32997e-005
774	163	0.75	1.31525e-005
775	163	0.75	1.32199e-005
776	163	0.75	1.29807e-005
777	163	0.75	1.31915e-005
778	163	0.75	1.32057e-005
779	164	0.75	1.32496e-005
780	164	0.75	1.30086e-005
781	164	0.75	1.30951e-005
782	164	0.75	1.30507e-005
783	164	0.75	1.30409e-005
784	165	0.75	1.29245e-005
785	165	0.75	1.31305e-005
786	165	0.75	1.30781e-005
787	165	0.75	1.28832e-005
788	165	0.75	1.32864e-005
789	166	0.75	1.33455e-005
790	166	0.75	1.33419e-005
791	166	0.75	1.30927e-005
792	166	0.75	1.30772e-005
793	167	0.75	1.29348e-005
794	167	0.75	1.34906e-005
795	167	0.75	1.32119e-005
796	167	0.75	1.30223e-005
797	167	0.75	1.30168e-005
798	168	0.75	1.30766e-005
799	168	0.75	1.31351e-005
800	168	0.8	1.43521e-005
801	168	0.8	1.45318e-005
